Q1	experiment_randomization1	Q2	Q5	Q6	Q8	experiment_randomization2	Q12	Q13	Q14	Q15	pid3	pid7	gender4	age4	race4	weight
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	1.063902075
"I agree to participate"	"Experimental group"	"I agree"	"Photo A - Trump Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Man"	"65+"	"White"	0.979111019
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.815172123
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"Other"	0.856075443
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.702319089
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	0.504768881
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.818213085
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"45-64"	"White"	0.515418781
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"45-64"	"White"	0.504306972
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"65+"	"White"	0.949955355
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	1.025300916
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"65+"	"White"	0.949955355
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"45-64"	"Other"	0.716903836
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	1.04675941
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Michigan"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	0.52742523
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	1.018200551
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Oregon"	"Oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"45-64"	"White"	2.871532041
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Woman"	"65+"	"White"	0.881994166
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	1.030890041
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"A great deal"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"45-64"	"White"	0.833298346
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Neither support nor oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	3.199440998
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"A moderate amount"	"Republican/Republican focus"	"Tennessee"	"Neither support nor oppose"	"Justified"	"No"	"Republican"	"Strong Republican"	"Woman"	"30-44"	"White"	0.948567097
"I agree to participate"	"Experimental group"	"I agree"	"Photo A - Trump Inauguration"	"No"	"A lot"	"Republican/Republican focus"	"Texas"	"Support"	"Justified"	"No"	"Democrat"	"Not very strong Democrat"	"Man"	"Under 30"	"White"	0.332969913
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"South Carolina"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Man"	"65+"	"Other"	0.542523241
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Man"	"30-44"	"White"	1.037319194
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"45-64"	"White"	0.603598385
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"Yes"	"A great deal"	"Democrat/Democratic focus"	"Texas"	"Support"	"Justified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"30-44"	"White"	1.012919927
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.717017905
"I agree to participate"	"Experimental group"	"1"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"45-64"	"White"	0.667994454
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	0.634857802
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	1.511304436
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	1.530139315
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	1.030890041
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Woman"	"45-64"	"White"	0.972932441
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.702319089
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Woman"	"65+"	"White"	1.218945763
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Man"	"65+"	"White"	1.858267122
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"Black"	0.751227995
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"A little"	"Republican/Republican focus"	"Iowa"	"Neither support nor oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Woman"	"45-64"	"White"	1.907494934
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"45-64"	"White"	0.654300615
"I agree to participate"	"Experimental group"	"\"I agree\""	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Woman"	"65+"	"White"	0.50453543
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Woman"	"45-64"	"White"	0.230851073
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"Black"	0.509494105
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	0.52742523
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	1.530139315
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	2.318892688
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"45-64"	"White"	0.667994454
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"30-44"	"White"	0.801128113
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	0.511059645
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.945849603
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Oregon"	"Neither support nor oppose"	"Justified"	"No"	"Republican"	"Not very strong Republican"	"Woman"	"45-64"	"White"	1.348760256
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Woman"	"45-64"	"White"	0.510601192
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"30-44"	"White"	1.259849699
"I agree to participate"	"Experimental group"	"\"I agree\""	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Michigan"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.75885309
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"45-64"	"White"	0.656324727
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Man"	"65+"	"White"	0.953928588
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"45-64"	"White"	1.017268807
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Tennessee"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"65+"	"White"	0.545380723
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Neither support nor oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Man"	"Under 30"	"White"	1.920548323
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Woman"	"45-64"	"White"	1.218736933
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Tennessee"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"45-64"	"White"	0.967469526
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	0.620973976
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Michigan"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	1.025300916
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"A lot"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"45-64"	"White"	0.499425747
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	0.620973976
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.822596706
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Oregon"	"Oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.717017905
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Woman"	"45-64"	"White"	0.476390303
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"65+"	"White"	0.545380723
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"65+"	"White"	0.806598959
"I agree to participate"	"Experimental group"	"i agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"30-44"	"Other"	0.468705288
"I agree to participate"	"Experimental group"	"I agree"	"Photo A - Trump Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"45-64"	"White"	0.967469526
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	0.52742523
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"A little"	"Republican/Republican focus"	"Iowa"	"Oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	1.030890041
"I agree to participate"	"Control group"	"__NA__"	"Photo A - Trump Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.83981281
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.67569997
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.822596706
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Neither support nor oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Man"	"45-64"	"White"	0.971516013
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"A moderate amount"	"Democrat/Democratic focus"	"Iowa"	"Support"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"65+"	"Black"	3.814480993
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"A great deal"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.815172123
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	0.634857802
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"Black"	1.30296319
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Man"	"65+"	"White"	1.146791412
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Woman"	"65+"	"White"	1.218945763
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"65+"	"White"	0.521953069
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	0.628712965
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"30-44"	"White"	0.536822808
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Woman"	"45-64"	"White"	1.570429822
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.83669157
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Man"	"65+"	"White"	1.291588065
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Woman"	"65+"	"White"	0.881994166
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	1.04675941
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Woman"	"45-64"	"White"	0.972932441
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Man"	"65+"	"White"	1.252704626
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"A little"	"Republican/Republican focus"	"Iowa"	"Oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"65+"	"White"	0.774154284
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"Black"	1.855389926
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"A moderate amount"	"Republican/Republican focus"	"Iowa"	"Oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"30-44"	"White"	1.205730948
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	1.025300916
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.83981281
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Woman"	"30-44"	"White"	1.190588869
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Man"	"65+"	"White"	1.146791412
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.756032745
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.717017905
"I agree to participate"	"Experimental group"	"I agree."	"Photo B - Obama Inauguration"	"No"	"A moderate amount"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	0.52742523
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	1.063902075
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Man"	"Under 30"	"White"	1.175196185
